step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
197,11709,197,0.3657277392293326,0.0,0.6666666666666666,,,,,
198,11734,198,0.33363977274314194,0.0,0.5,,,,,
199,11783,199,0.078881730000503,0.0,0.6666666666666666,,,,,
200,11832,200,0.14264917856671672,0.0,0.6666666666666666,,,,,
201,11873,201,0.0558987491838052,0.0,0.5,0.027610802327722516,1.0,1.0,,
202,11946,202,0.032630796421791376,1.0,1.0,,,,,
203,12043,203,0.025733099735522652,1.0,1.0,,,,,
204,12116,204,0.03770845037058785,1.0,1.0,,,,,
205,12165,205,0.0314118023841244,1.0,1.0,,,,,
206,12198,206,0.07091771849884027,0.0,0.6666666666666666,,,,,
207,12295,207,0.024373844522629806,1.0,1.0,,,,,
208,12336,208,0.05209445343607513,0.0,0.6666666666666666,,,,,
209,12369,209,0.06456498642990482,1.0,1.0,0.055529798447911165,0.0,0.5,,
210,12418,210,0.05859627402496699,0.0,0.6666666666666666,,,,,
211,12459,211,0.026164526741449663,1.0,1.0,,,,,
212,12556,212,0.04346162991532158,0.0,0.6666666666666666,,,,,
213,12629,213,0.06717920202645472,0.0,0.0,,,,,
214,12662,214,0.05368945576250553,1.0,1.0,,,,,
215,12695,215,0.03248350007059343,1.0,1.0,,,,,
216,12752,216,0.06795688200460322,0.0,0.6666666666666666,,,,,
217,12833,217,0.030154692460913797,1.0,1.0,0.05616692318838615,0.0,0.5,,
218,12866,218,0.09869611530614747,0.0,0.6666666666666666,,,,,
219,12923,219,0.030003554530973947,1.0,1.0,,,,,
220,12972,220,0.025643681740208802,1.0,1.0,,,,,
221,13029,221,0.1389842623709202,0.0,0.6666666666666666,,,,,
222,13126,222,0.05464669366479029,0.0,0.6666666666666666,,,,,
223,13167,223,0.14200370556549752,0.0,0.6666666666666666,,,,,
224,13200,224,0.02437478057530825,1.0,1.0,,,,,
225,13249,225,0.13373277796832553,0.0,0.5,0.029297060717770364,1.0,1.0,,
226,13338,226,0.03014843029345271,1.0,1.0,,,,,
227,13427,227,0.05269208062416345,0.0,0.5,,,,,
228,13452,228,0.033987945134528366,1.0,1.0,,,,,
229,13533,229,0.03661094992235303,0.0,0.6666666666666666,,,,,
230,13582,230,0.054217411443338887,0.0,0.6666666666666666,,,,,
231,13615,231,0.053351471670575856,1.0,1.0,,,,,
232,13632,232,0.14347523283388,0.0,0.6666666666666666,,,,,
233,13673,233,0.07868384101660925,0.0,0.6666666666666666,0.0601383129174792,0.0,0.6666666666666666,,
234,13762,234,0.028952846251698,1.0,1.0,,,,,
235,13811,235,0.10663248295272448,0.0,0.6666666666666666,,,,,
236,13908,236,0.03186264150103701,1.0,1.0,,,,,
237,13981,237,0.024392420133598436,1.0,1.0,,,,,
238,14014,238,0.07988558306027699,0.0,0.6666666666666666,,,,,
239,14095,239,0.030089737386299022,1.0,1.0,,,,,
240,14152,240,0.04486741791776565,1.0,1.0,,,,,
241,14169,241,0.20249299531220458,0.0,0.0,0.027573534524401117,1.0,1.0,,
242,14250,242,0.06234538299217821,0.0,0.6666666666666666,,,,,
243,14339,243,0.021352513377642025,1.0,1.0,,,,,
